Country Name,Country Code,Indicator Name,Indicator Code,year_int,value
Austria,AUT,Control of Corruption: Estimate,CC.EST,2000,1.7510586977005
Austria,AUT,Government Effectiveness: Estimate,GE.EST,2000,1.84726524353027
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.822056412696838
Austria,AUT,Regulatory Quality: Estimate,RQ.EST,2000,1.47547554969788
Austria,AUT,Rule of Law: Estimate,RL.EST,2000,1.81233263015747
Austria,AUT,Voice and Accountability: Estimate,VA.EST,2000,1.31755948066711
Belgium,BEL,Control of Corruption: Estimate,CC.EST,2000,1.44685900211334
Belgium,BEL,Government Effectiveness: Estimate,GE.EST,2000,1.65919423103333
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,1.12981116771698
Belgium,BEL,Regulatory Quality: Estimate,RQ.EST,2000,1.15296983718872
Belgium,BEL,Rule of Law: Estimate,RL.EST,2000,1.3139340877533
Belgium,BEL,Voice and Accountability: Estimate,VA.EST,2000,1.36650443077087
Bulgaria,BGR,Control of Corruption: Estimate,CC.EST,2000,-0.178624525666237
Bulgaria,BGR,Government Effectiveness: Estimate,GE.EST,2000,0.0379754789173603
Bulgaria,BGR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.377964615821838
Bulgaria,BGR,Regulatory Quality: Estimate,RQ.EST,2000,0.199957489967346
Bulgaria,BGR,Rule of Law: Estimate,RL.EST,2000,-0.123777076601982
Bulgaria,BGR,Voice and Accountability: Estimate,VA.EST,2000,0.460498780012131
Croatia,HRV,Control of Corruption: Estimate,CC.EST,2000,-0.0353819169104099
Croatia,HRV,Government Effectiveness: Estimate,GE.EST,2000,0.363394379615784
Croatia,HRV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.28022488951683
Croatia,HRV,Regulatory Quality: Estimate,RQ.EST,2000,-0.118701681494713
Croatia,HRV,Rule of Law: Estimate,RL.EST,2000,-0.0298685356974602
Croatia,HRV,Voice and Accountability: Estimate,VA.EST,2000,0.510653853416443
Cyprus,CYP,Control of Corruption: Estimate,CC.EST,2000,1.08123648166656
Cyprus,CYP,Government Effectiveness: Estimate,GE.EST,2000,1.07490420341492
Cyprus,CYP,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.51749986410141
Cyprus,CYP,Regulatory Quality: Estimate,RQ.EST,2000,1.08776450157166
Cyprus,CYP,Rule of Law: Estimate,RL.EST,2000,1.01605880260468
Cyprus,CYP,Voice and Accountability: Estimate,VA.EST,2000,1.05713748931885
Czechia,CZE,Control of Corruption: Estimate,CC.EST,2000,0.146037667989731
Czechia,CZE,Government Effectiveness: Estimate,GE.EST,2000,0.587459146976471
Czechia,CZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.332739621400833
Czechia,CZE,Regulatory Quality: Estimate,RQ.EST,2000,0.743665814399719
Czechia,CZE,Rule of Law: Estimate,RL.EST,2000,0.607116281986237
Czechia,CZE,Voice and Accountability: Estimate,VA.EST,2000,0.762775123119354
Denmark,DNK,Control of Corruption: Estimate,CC.EST,2000,2.32117748260498
Denmark,DNK,Government Effectiveness: Estimate,GE.EST,2000,1.89654886722565
Denmark,DNK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,1.5010689496994
Denmark,DNK,Regulatory Quality: Estimate,RQ.EST,2000,1.71064364910126
Denmark,DNK,Rule of Law: Estimate,RL.EST,2000,1.80873346328735
Denmark,DNK,Voice and Accountability: Estimate,VA.EST,2000,1.53596532344818
Estonia,EST,Control of Corruption: Estimate,CC.EST,2000,0.840922892093658
Estonia,EST,Government Effectiveness: Estimate,GE.EST,2000,0.687826871871948
Estonia,EST,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.902080297470093
Estonia,EST,Regulatory Quality: Estimate,RQ.EST,2000,1.27151811122894
Estonia,EST,Rule of Law: Estimate,RL.EST,2000,0.594717025756836
Estonia,EST,Voice and Accountability: Estimate,VA.EST,2000,0.988002359867096
Finland,FIN,Control of Corruption: Estimate,CC.EST,2000,2.36823558807373
Finland,FIN,Government Effectiveness: Estimate,GE.EST,2000,2.02971863746643
Finland,FIN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,1.72011208534241
Finland,FIN,Regulatory Quality: Estimate,RQ.EST,2000,1.78254592418671
Finland,FIN,Rule of Law: Estimate,RL.EST,2000,1.95340764522552
Finland,FIN,Voice and Accountability: Estimate,VA.EST,2000,1.59303331375122
France,FRA,Control of Corruption: Estimate,CC.EST,2000,1.32172358036041
France,FRA,Government Effectiveness: Estimate,GE.EST,2000,1.63705730438232
France,FRA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.785089075565338
France,FRA,Regulatory Quality: Estimate,RQ.EST,2000,0.914936780929565
France,FRA,Rule of Law: Estimate,RL.EST,2000,1.43230748176575
France,FRA,Voice and Accountability: Estimate,VA.EST,2000,1.18298661708832
Germany,DEU,Control of Corruption: Estimate,CC.EST,2000,1.80154538154602
Germany,DEU,Government Effectiveness: Estimate,GE.EST,2000,1.80453169345856
Germany,DEU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,1.41133570671082
Germany,DEU,Regulatory Quality: Estimate,RQ.EST,2000,1.45614349842072
Germany,DEU,Rule of Law: Estimate,RL.EST,2000,1.60941886901855
Germany,DEU,Voice and Accountability: Estimate,VA.EST,2000,1.31480205059052
Greece,GRC,Control of Corruption: Estimate,CC.EST,2000,0.631434977054596
Greece,GRC,Government Effectiveness: Estimate,GE.EST,2000,0.587037920951843
Greece,GRC,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.808356404304504
Greece,GRC,Regulatory Quality: Estimate,RQ.EST,2000,0.736641585826874
Greece,GRC,Rule of Law: Estimate,RL.EST,2000,0.861044526100159
Greece,GRC,Voice and Accountability: Estimate,VA.EST,2000,1.01306200027466
Hungary,HUN,Control of Corruption: Estimate,CC.EST,2000,0.720579922199249
Hungary,HUN,Government Effectiveness: Estimate,GE.EST,2000,0.999929845333099
Hungary,HUN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.918442904949188
Hungary,HUN,Regulatory Quality: Estimate,RQ.EST,2000,1.04222512245178
Hungary,HUN,Rule of Law: Estimate,RL.EST,2000,0.832505941390991
Hungary,HUN,Voice and Accountability: Estimate,VA.EST,2000,1.13526666164398
Ireland,IRL,Control of Corruption: Estimate,CC.EST,2000,1.38453423976898
Ireland,IRL,Government Effectiveness: Estimate,GE.EST,2000,1.59273290634155
Ireland,IRL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,1.58410012722015
Ireland,IRL,Regulatory Quality: Estimate,RQ.EST,2000,1.78177714347839
Ireland,IRL,Rule of Law: Estimate,RL.EST,2000,1.53968262672424
Ireland,IRL,Voice and Accountability: Estimate,VA.EST,2000,1.4082487821579
Italy,ITA,Control of Corruption: Estimate,CC.EST,2000,0.699464857578278
Italy,ITA,Government Effectiveness: Estimate,GE.EST,2000,0.72274261713028
Italy,ITA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.916669428348541
Italy,ITA,Regulatory Quality: Estimate,RQ.EST,2000,0.791893303394318
Italy,ITA,Rule of Law: Estimate,RL.EST,2000,0.83810555934906
Italy,ITA,Voice and Accountability: Estimate,VA.EST,2000,1.04071915149689
Latvia,LVA,Control of Corruption: Estimate,CC.EST,2000,-0.0419168248772621
Latvia,LVA,Government Effectiveness: Estimate,GE.EST,2000,0.209914907813072
Latvia,LVA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.419434159994125
Latvia,LVA,Regulatory Quality: Estimate,RQ.EST,2000,0.696230709552765
Latvia,LVA,Rule of Law: Estimate,RL.EST,2000,0.148901090025902
Latvia,LVA,Voice and Accountability: Estimate,VA.EST,2000,0.742288053035736
Lithuania,LTU,Control of Corruption: Estimate,CC.EST,2000,0.370262295007706
Lithuania,LTU,Government Effectiveness: Estimate,GE.EST,2000,0.0986325070261955
Lithuania,LTU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.428785473108292
Lithuania,LTU,Regulatory Quality: Estimate,RQ.EST,2000,0.714432060718536
Lithuania,LTU,Rule of Law: Estimate,RL.EST,2000,0.218402534723282
Lithuania,LTU,Voice and Accountability: Estimate,VA.EST,2000,0.855439901351929
Luxembourg,LUX,Control of Corruption: Estimate,CC.EST,2000,1.98398292064667
Luxembourg,LUX,Government Effectiveness: Estimate,GE.EST,2000,1.89046895503998
Luxembourg,LUX,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,1.60547471046448
Luxembourg,LUX,Regulatory Quality: Estimate,RQ.EST,2000,1.84944641590118
Luxembourg,LUX,Rule of Law: Estimate,RL.EST,2000,1.81531381607056
Luxembourg,LUX,Voice and Accountability: Estimate,VA.EST,2000,1.51018667221069
Malta,MLT,Control of Corruption: Estimate,CC.EST,2000,0.92176079750061
Malta,MLT,Government Effectiveness: Estimate,GE.EST,2000,1.05050778388977
Malta,MLT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,1.58620870113373
Malta,MLT,Regulatory Quality: Estimate,RQ.EST,2000,1.10015058517456
Malta,MLT,Rule of Law: Estimate,RL.EST,2000,1.3641529083252
Malta,MLT,Voice and Accountability: Estimate,VA.EST,2000,1.19157075881958
Netherlands,NLD,Control of Corruption: Estimate,CC.EST,2000,2.13800668716431
Netherlands,NLD,Government Effectiveness: Estimate,GE.EST,2000,1.9833756685257
Netherlands,NLD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,1.75868117809296
Netherlands,NLD,Regulatory Quality: Estimate,RQ.EST,2000,2.02518129348755
Netherlands,NLD,Rule of Law: Estimate,RL.EST,2000,1.74453032016754
Netherlands,NLD,Voice and Accountability: Estimate,VA.EST,2000,1.5439612865448
Poland,POL,Control of Corruption: Estimate,CC.EST,2000,0.695001423358917
Poland,POL,Government Effectiveness: Estimate,GE.EST,2000,0.568725228309631
Poland,POL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.309305250644684
Poland,POL,Regulatory Quality: Estimate,RQ.EST,2000,0.704200506210327
Poland,POL,Rule of Law: Estimate,RL.EST,2000,0.633313119411469
Poland,POL,Voice and Accountability: Estimate,VA.EST,2000,1.07567167282104
Portugal,PRT,Control of Corruption: Estimate,CC.EST,2000,1.14826655387878
Portugal,PRT,Government Effectiveness: Estimate,GE.EST,2000,0.972350239753723
Portugal,PRT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,1.39476406574249
Portugal,PRT,Regulatory Quality: Estimate,RQ.EST,2000,0.919032692909241
Portugal,PRT,Rule of Law: Estimate,RL.EST,2000,1.20019292831421
Portugal,PRT,Voice and Accountability: Estimate,VA.EST,2000,1.35786831378937
Romania,ROU,Control of Corruption: Estimate,CC.EST,2000,-0.510619759559631
Romania,ROU,Government Effectiveness: Estimate,GE.EST,2000,-0.262158989906311
Romania,ROU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,-0.379039525985718
Romania,ROU,Regulatory Quality: Estimate,RQ.EST,2000,-0.104750372469425
Romania,ROU,Rule of Law: Estimate,RL.EST,2000,-0.18183496594429
Romania,ROU,Voice and Accountability: Estimate,VA.EST,2000,0.469307065010071
Slovak Republic,SVK,Control of Corruption: Estimate,CC.EST,2000,0.223054468631744
Slovak Republic,SVK,Government Effectiveness: Estimate,GE.EST,2000,0.673051953315735
Slovak Republic,SVK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.663586676120758
Slovak Republic,SVK,Regulatory Quality: Estimate,RQ.EST,2000,0.577808380126953
Slovak Republic,SVK,Rule of Law: Estimate,RL.EST,2000,0.299946576356888
Slovak Republic,SVK,Voice and Accountability: Estimate,VA.EST,2000,0.848681509494781
Slovenia,SVN,Control of Corruption: Estimate,CC.EST,2000,0.827235400676727
Slovenia,SVN,Government Effectiveness: Estimate,GE.EST,2000,0.674126327037811
Slovenia,SVN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.886789321899414
Slovenia,SVN,Regulatory Quality: Estimate,RQ.EST,2000,0.672722458839417
Slovenia,SVN,Rule of Law: Estimate,RL.EST,2000,0.967030942440033
Slovenia,SVN,Voice and Accountability: Estimate,VA.EST,2000,1.10754191875458
Spain,ESP,Control of Corruption: Estimate,CC.EST,2000,1.32828283309937
Spain,ESP,Government Effectiveness: Estimate,GE.EST,2000,1.68575727939606
Spain,ESP,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,0.459468245506287
Spain,ESP,Regulatory Quality: Estimate,RQ.EST,2000,1.23809194564819
Spain,ESP,Rule of Law: Estimate,RL.EST,2000,1.4075014591217
Spain,ESP,Voice and Accountability: Estimate,VA.EST,2000,1.27701985836029
Sweden,SWE,Control of Corruption: Estimate,CC.EST,2000,2.22582793235779
